name,landcover,croptype,ec_code
Oil palms,12,4430,12-03-00-003-0
Other oleaginous fruits,12,4490,12-03-00-000-0
Root/tuber crops,11,5000,11-07-00-000-0
Potatoes,11,5100,11-07-00-001-0
Sweet potatoes,11,5200,11-07-00-002-0
Cassava,11,5300,11-07-00-004-0
Yams,11,5400,11-07-00-005-0
Other roots and tubers,11,5900,11-07-00-000-0
Beverage and spice crops,10,6000,12-02-00-000-0
Beverage crops,12,6100,12-02-00-000-0
Coffee,12,6110,12-02-00-001-0
Tea,12,6120,12-02-00-002-0
Mat̩,12,6130,12-02-00-003-0
Cocoa,12,6140,12-02-00-004-0
Other beverage crops,12,6190,12-02-00-000-0
Spice crops,10,6200,12-02-00-000-0
Chilies & peppers,11,6211,11-03-03-000-0
"Anise, badian",11,6212,11-09-00-006-0
Other temporary spice crops,11,6219,11-09-00-000-0
Pepper,12,6221,11-09-00-029-0
"Nutmeg, mace",12,6222,11-09-00-045-0
Cinnamon,12,6223,11-09-00-046-0
Cloves,12,6224,11-09-00-047-0
Ginger,12,6225,11-09-00-048-0
Vanilla,12,6226,11-09-00-049-0
Other permanent spice crops,12,6229,12-02-00-000-0
Leguminous crops,11,7000,11-05-00-000-0
Beans,11,7100,11-05-01-002-0
Broad beans,11,7200,11-05-01-003-0
Chick peas,11,7300,11-05-01-004-0
Cow peas,11,7400,11-05-01-005-0
Lentils,11,7500,11-05-00-003-0
Lupins,11,7600,11-05-00-004-0
Peas,11,7700,11-05-01-002-0
Pigeon peas,11,7800,11-05-01-006-0
Other Leguminous crops,10,7900,11-05-00-000-0
Other Leguminous crops - Temporary,11,7910,11-05-00-000-0
Other Leguminous crops - Permanent,12,7920,12-04-00-000-0
Sugar crops,10,8000,00-00-00-000-0
Sugar beet,11,8100,11-07-00-003-1
Sugar cane,11,8200,11-11-01-010-0
Sweet sorghum,11,8300,11-01-07-004-0
Other sugar crops,10,8900,00-00-00-000-0
Other crops,10,9000,00-00-00-000-0
Grasses and other fodder crops,13,9100,11-11-00-000-0
Temporary grass crops,13,9110,11-11-00-001-0
Permanent grass crops,13,9120,13-00-00-000-0
Fibre crops,10,9200,11-08-00-000-0
Temporary fibre crops,11,9210,11-08-00-000-0
Cotton,11,9211,11-08-00-001-0
"Jute, kenaf and similar",11,9212,11-08-00-002-0
"Flax, hemp and similar",11,9213,11-08-00-003-0
Other temporary fibre crops,11,9219,11-08-00-000-0
Permanent fibre crops,12,9220,12-05-00-000-0
"Medicinal, aromatic",10,9300,11-09-00-000-0
Temporary medicinal etc crops,11,9310,11-09-00-000-0
Permanent medicinal etc crops,12,9320,12-02-00-000-0
Rubber,12,9400,12-06-00-008-0
Flower crops,10,9500,11-10-00-000-0
Temporary flower crops,11,9510,11-10-00-000-0
Permanent flower crops,12,9520,12-06-00-000-0
Tobacco,11,9600,11-09-00-050-0
Other other crops,10,9900,00-00-00-000-0
Other crops - temporary,11,9910,00-00-00-000-0
Other crops - permanent,12,9920,00-00-00-000-0
mixed cropping,10,9998,11-14-00-000-0
Herbaceous vegetation,20,20,20-00-00-000-0
Shrubland,30,30,30-00-00-000-0
Deciduous forest,40,40,41-02-00-000-0
Evergreen forest,41,41,41-01-00-000-0
Mixed/unknown forest,42,42,41-00-00-000-0
Bare / sparse vegetation,50,50,50-03-00-000-0
Built up / urban,60,60,60-00-00-000-0
Water,70,70,70-00-00-000-0
Snow / ice,80,80,50-05-00-000-0
No cropland (including perennials),98,98,16-00-00-000-0
No cropland,99,99,17-00-00-000-0
Cropland,10,10,10-00-00-000-0
Annual cropland,11,11,11-00-00-000-0
Perennial cropland,12,12,12-00-00-000-0
Grassland *,13,13,13-00-00-000-0
Unknown perennial tobacco-like,12,9700,12-00-00-000-0
